|2002_naics|2002_naics_title|sic|sic_title_and_note|filename|end|start
1710|525190.0|Other Insurance Funds|6324.0|Hospital and Medical Service Plans (self insurers)|2002_NAICS_to_1987_SIC.xls|1987|2002
1711|525190.0|Other Insurance Funds|6331.0|Fire, Marine, and Casualty Insurance (self insurers)|2002_NAICS_to_1987_SIC.xls|1987|2002
1712|525190.0|Other Insurance Funds|6733.0|Trusts, Except Educational, Religious, and Charitable (vacation funds for employees)|2002_NAICS_to_1987_SIC.xls|1987|2002
1713|525910.0|Open-End Investment Funds|6722.0|Management Investment Offices, Open-End |2002_NAICS_to_1987_SIC.xls|1987|2002
1714|525920.0|Trusts, Estates, and Agency Accounts|6733.0|Trusts, Except Educational, Religious, and Charitable (personal trusts, estates, and agency accounts)|2002_NAICS_to_1987_SIC.xls|1987|2002
1715|525930.0|Real Estate Investment Trusts|6798.0|Real Estate Investment Trusts|2002_NAICS_to_1987_SIC.xls|1987|2002
1716|525990.0|Other Financial Vehicles|6371.0|Pension, Health, and Welfare Funds (profit sharing funds)|2002_NAICS_to_1987_SIC.xls|1987|2002
1717|525990.0|Other Financial Vehicles|6726.0|Unit Investment Trusts, Face-Amount Certificate Offices, and Closed-End Management Investment Offices|2002_NAICS_to_1987_SIC.xls|1987|2002
1718|531110.0|Lessors of Residential Buildings and Dwellings|6513.0|Operators of Apartment Buildings|2002_NAICS_to_1987_SIC.xls|1987|2002
1719|531110.0|Lessors of Residential Buildings and Dwellings|6514.0|Operators of Dwellings Other Than Apartment Buildings|2002_NAICS_to_1987_SIC.xls|1987|2002
1720|531110.0|Lessors of Residential Buildings and Dwellings|6531.0|Real Estate Agents and Managers (operating housing authorities)|2002_NAICS_to_1987_SIC.xls|1987|2002
1721|531120.0|Lessors of Nonresidential Buildings (except Miniwarehouses)|6512.0|Operators of Nonresidential Buildings (except stadium and arena owners)|2002_NAICS_to_1987_SIC.xls|1987|2002
1722|531130.0|Lessors of Miniwarehouses and Self-Storage Units|4225.0|General Warehousing and Storage (miniwarehouses and self-storage units)|2002_NAICS_to_1987_SIC.xls|1987|2002
1723|531190.0|Lessors of Other Real Estate Property|6515.0|Operators of Residential Mobile Home Sites|2002_NAICS_to_1987_SIC.xls|1987|2002
1724|531190.0|Lessors of Other Real Estate Property|6517.0|Lessors of Railroad Property|2002_NAICS_to_1987_SIC.xls|1987|2002
1725|531190.0|Lessors of Other Real Estate Property|6519.0|Lessors of Real Property, NEC|2002_NAICS_to_1987_SIC.xls|1987|2002
1726|531210.0|Offices of Real Estate Agents and Brokers|6531.0|Real Estate Agents and Managers (agents and brokers)|2002_NAICS_to_1987_SIC.xls|1987|2002
1727|531311.0|Residential Property Managers|6531.0|Real Estate Agents and Managers (residential property managers)|2002_NAICS_to_1987_SIC.xls|1987|2002
1728|531312.0|Nonresidential Property Managers|6531.0|Real Estate Agents and Managers (nonresidential property managers)|2002_NAICS_to_1987_SIC.xls|1987|2002
1729|531320.0|Offices of Real Estate Appraisers|6531.0|Real Estate Agents and Managers (appraisers)|2002_NAICS_to_1987_SIC.xls|1987|2002
1730|531390.0|Other Activities Related to Real Estate|6531.0|Real Estate Agents and Managers (except property managers, condominium associations, cemetery management, agents and brokers, operating housing authorities, and appraisers)|2002_NAICS_to_1987_SIC.xls|1987|2002
1731|532111.0|Passenger Car Rental|7514.0|Passenger Car Rental|2002_NAICS_to_1987_SIC.xls|1987|2002
1732|532112.0|Passenger Car Leasing  |7515.0|Passenger Car Leasing|2002_NAICS_to_1987_SIC.xls|1987|2002
1733|532120.0|Truck, Utility Trailer, and RV (Recreational Vehicle) Rental and Leasing|7513.0|Truck Rental and Leasing Without Drivers|2002_NAICS_to_1987_SIC.xls|1987|2002
1734|532120.0|Truck, Utility Trailer, and RV (Recreational Vehicle) Rental and Leasing|7519.0|Utility Trailers and Recreational Vehicle Rental|2002_NAICS_to_1987_SIC.xls|1987|2002
1735|532210.0|Consumer Electronics and Appliances Rental|7359.0|Equipment Rental and Leasing, NEC (appliances; TVs, VCRs, and other consumer electronic equipment rental)|2002_NAICS_to_1987_SIC.xls|1987|2002
1736|532220.0|Formal Wear and Costume Rental|7299.0|Miscellaneous Personal Services, NEC (formal wear and costume rental)|2002_NAICS_to_1987_SIC.xls|1987|2002
1737|532220.0|Formal Wear and Costume Rental|7819.0|Services Allied to Motion Picture Production (wardrobe rental for motion picture film production)|2002_NAICS_to_1987_SIC.xls|1987|2002
1738|532230.0|Video Tape and Disc Rental|7841.0|Video Tape Rental|2002_NAICS_to_1987_SIC.xls|1987|2002
1739|532291.0|Home Health Equipment Rental|7352.0|Medical Equipment Rental and Leasing (home health furniture and equipment rental and leasing)|2002_NAICS_to_1987_SIC.xls|1987|2002
1740|532292.0|Recreational Goods Rental|7999.0|Amusement and Recreation Services, NEC (canoe, pleasure boats, bicycles, motorcycles, moped, go carts, etc. rental)|2002_NAICS_to_1987_SIC.xls|1987|2002
