filename|year|standard|code|title
2002_NAICS_to_1987_SIC.xls|1987-01-01  0:00:00|sic|1796|Installation or Erection of Building Equipment, NEC (scrubber, dust collection, and other industrial ventilation installation)
2002_NAICS_to_1987_SIC.xls|1987-01-01  0:00:00|sic|7699|Repair Shops and Related Services, NEC (boiler cleaning, chipping, and scaling)
2002_NAICS_to_1987_SIC.xls|1987-01-01  0:00:00|sic|1796|Installation or Erection of Building Equipment, NEC (installation of equipment not elsewhere specified such as central vacuum cleaning systems and dumb waiters)
2002_NAICS_to_1987_SIC.xls|1987-01-01  0:00:00|sic|1799|Special Trade Contractors, NEC (building equipment installation contractors for service station equipment; boiler, duct, and pipe insulation; lightning rod installation; bowling alley equipment installation; church bell installation; and clock tower installation)
2002_NAICS_to_1987_SIC.xls|1987-01-01  0:00:00|sic|7622|Radio and Television Repair Shops (household antenna installation and household-type satellite dish installation)
2002_NAICS_to_1987_SIC.xls|1987-01-01  0:00:00|sic|1742|Plastering, Drywall, Acoustical, and Insulation Work
2002_NAICS_to_1987_SIC.xls|1987-01-01  0:00:00|sic|1743|Terrazzo, Tile, Marble, and Mosaic Work (fresco work)
2002_NAICS_to_1987_SIC.xls|1987-01-01  0:00:00|sic|1721|Painting and Paper Hanging
2002_NAICS_to_1987_SIC.xls|1987-01-01  0:00:00|sic|1799|Special Trade Contractors, NEC (paint and wallpaper stripping and removing contractors)
2002_NAICS_to_1987_SIC.xls|1987-01-01  0:00:00|sic|1752|Floor Laying and Other Floor Work, NEC 
2002_NAICS_to_1987_SIC.xls|1987-01-01  0:00:00|sic|1743|Terrazzo, Tile, Marble, and Mosaic Work (except fresco work)
2002_NAICS_to_1987_SIC.xls|1987-01-01  0:00:00|sic|1751|Carpentry Work (finish carpentry)
2002_NAICS_to_1987_SIC.xls|1987-01-01  0:00:00|sic|1799|Special Trade Contractors, NEC (countertop, residential-type, installation)
2002_NAICS_to_1987_SIC.xls|1987-01-01  0:00:00|sic|1761|Roofing, Siding, and Sheet Metal Work (except roofing and siding work)
2002_NAICS_to_1987_SIC.xls|1987-01-01  0:00:00|sic|1799|Special Trade Contractors, NEC (building finishing contractors for weather stripping and damp proofing, window covering fixture installation, bathtub refinishing, modular furniture installation, trade show exhibit installation and removal, and spectator seating installation) )
2002_NAICS_to_1987_SIC.xls|1987-01-01  0:00:00|sic|1081|Metal Mining Services (site preparation and related construction activities on a contract basis)
2002_NAICS_to_1987_SIC.xls|1987-01-01  0:00:00|sic|1241|Coal Mining Services (site preparation and related construction activities on a contract basis)
2002_NAICS_to_1987_SIC.xls|1987-01-01  0:00:00|sic|1389|Oil and Gas Field Services, NEC (site preparation and related construction activities on a contract basis)
